strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
RSI with BB,AUCTIONBTC,-82.74678257640099,-16.459511593589088,87.01900542266377,36.574074074074076,433,,,RSIWithBB,14.0,20.0,,
MA Crossover,AUCTIONBTC,-93.5230708886551,-27.583606719308452,93.5230708886551,15.254237288135593,236,,,MACrossover,,,25.0,100.0
SMA Crossover,AVAXBTC,-99.92957085193025,-103.37857717933038,99.93044690239623,3.728813559322034,591,15.0,40.0,SMACrossover,,,,
RSI with BB,AVAXBTC,-28.676016016755256,-5.67546040175265,40.20244260599288,41.452991452991455,235,,,RSIWithBB,14.0,20.0,,
MA Crossover,AVAXBTC,-95.94804725074287,-58.69365283380243,95.99844847227531,8.560311284046692,258,,,MACrossover,,,25.0,100.0
SMA Crossover,AXLBTC,-97.60372833038299,-46.41475918070923,97.60372833038302,11.688311688311687,309,15.0,40.0,SMACrossover,,,,
RSI with BB,AXLBTC,-20.08755788649823,-2.6088943238463873,39.30107084402895,44.8559670781893,244,,,RSIWithBB,14.0,20.0,,
MA Crossover,AXLBTC,-90.42195962137428,-32.093955860387915,90.42195962137428,14.285714285714285,197,,,MACrossover,,,25.0,100.0
SMA Crossover,AXSBTC,-99.91815787688732,-101.45465407915124,99.91815787688735,4.035087719298246,570,15.0,40.0,SMACrossover,,,,
RSI with BB,AXSBTC,-27.69029425317566,-5.158940291339985,40.85047916570036,40.55555555555556,181,,,RSIWithBB,14.0,20.0,,
MA Crossover,AXSBTC,-96.64317247500797,-61.16015443884667,96.64317247500797,7.142857142857142,266,,,MACrossover,,,25.0,100.0
SMA Crossover,BANANABTC,-99.06505574951704,-53.50767990068867,99.06505574951704,10.46831955922865,363,15.0,40.0,SMACrossover,,,,
RSI with BB,BANANABTC,-16.132461493034427,-1.6067973745160582,33.791999812407056,46.2046204620462,304,,,RSIWithBB,14.0,20.0,,
MA Crossover,BANANABTC,-94.63366014936429,-37.112005670966205,94.63366014936429,10.648148148148149,216,,,MACrossover,,,25.0,100.0
SMA Crossover,BATBTC,-98.21799520868025,-63.133575212530765,98.21799520868022,4.529616724738676,288,15.0,40.0,SMACrossover,,,,
RSI with BB,BATBTC,-33.52292969053002,-6.910637198071275,41.88419752878708,35.61643835616438,147,,,RSIWithBB,14.0,20.0,,
MA Crossover,BATBTC,-94.59090210139551,-53.02690915295783,94.60766553214775,5.853658536585367,206,,,MACrossover,,,25.0,100.0
SMA Crossover,BBBTC,-99.64947832455405,-63.32015548558293,99.649478324554,8.071748878923767,446,15.0,40.0,SMACrossover,,,,
RSI with BB,BBBTC,-55.5777101390581,-9.202052938823874,65.63860822219146,37.77777777777778,361,,,RSIWithBB,14.0,20.0,,
MA Crossover,BBBTC,-95.9419599509757,-39.1728780357969,95.94195995097562,10.588235294117647,255,,,MACrossover,,,25.0,100.0
SMA Crossover,BCHBTC,-99.9218929450714,-109.03086698921278,99.92189487892799,2.2033898305084745,590,15.0,40.0,SMACrossover,,,,
RSI with BB,BCHBTC,-24.554122269885966,-5.6357778206335425,36.535583302168526,37.878787878787875,133,,,RSIWithBB,14.0,20.0,,
MA Crossover,BCHBTC,-96.13204534796742,-66.10014492033675,96.16074165076418,5.2434456928838955,267,,,MACrossover,,,25.0,100.0
SMA Crossover,BERABTC,-99.70165972971229,-50.159970713307,99.71039482716508,11.910112359550562,446,15.0,40.0,SMACrossover,,,,
RSI with BB,BERABTC,-89.13513203536147,-15.320739474097802,89.15259759149464,40.357598978288635,783,,,RSIWithBB,14.0,20.0,,
